Time,virion_half_life,dip_half_life,ifn_half_life,Global IFN Concentration Per Cell,Total Extracellular Virions,Total Extracellular DIPs,Percentage Dead Cells,Percentage Susceptible Cells,Percentage Infected Cells,Percentage Infected DIP-only Cells,Percentage Infected Both Cells,Percentage Antiviral Cells,Regrowth Count,Percentage Susceptible and Antiviral (Real Susceptible cells without regrowthed ones) Cells,Percentage Regrowthed or Regrowthed and Antiviral Cells,Probability Virion Infection,Probability DIP Infection,Per Particle Infection Chance RHO,Total Local Particles,Plaque Percentage,max_global_IFN,time_all_cells_uninfected,Percentage Uninfected Cells,num_plaques,GRID_SIZE,TIMESTEP,IFN_DELAY,STD_IFN_DELAY,ALPHA,RHO,TAU,BURST_SIZE_V,REGROWTH_MEAN,REGROWTH_STD,TIME_STEPS,MEAN_LYSIS_TIME,STANDARD_LYSIS_TIME,init_v_pfu_per_cell,init_d_pfu_per_cell,MEAN_ANTI_TIME_Per_Cell,STD_ANTI_TIME,R,BURST_SIZE_D,H,option,d_pfu_initial,v_pfu_initial,virionOnlyInfected,dipOnlyInfected,bothInfected,totalDeadFromV,totalDeadFromBoth,virionDiffusionRate,dipDiffusionRate,k_JumpR,jumpRadiusV,jumpRadiusD,jumpRandomly,par_celltocell_random,allowVirionJump,allowDIPJump,IFN_wave_radius,ifnWave,ifnBothFold,D_only_IFN_stimulate_ratio,BOTH_IFN_stimulate_ratio,totalRandomJumpVirions,totalRandomJumpDIPs
0,0.000000,0.000000,0.000000,-0.000400,1,1,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0,100.000000,0.000000,"variate, depending on radius 10 of IFN","variate, depending on radius 10 of IFN",0.026000,2,0.000000,-1.000000,-1.0,100.000000,0,50,1,5,1,1.000000,0.026000,95.000000,50,24.000000,6.000000,502,12.000000,3.000000,0.000400,0.000400,-1.0,-1.0,1.000000,100,-1.0,1,1,1,0,0,0,0,0,0,0,0.000000,0,0,false,false,false,false,0,false,1.000000,5.000000,10.000000,0,0
1,0.000000,0.000000,0.000000,-0.000400,1,1,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0,100.000000,0.000000,"variate, depending on radius 10 of IFN","variate, depending on radius 10 of IFN",0.026000,2,0.000000,-1.000000,-1.0,100.000000,0,50,1,5,1,1.000000,0.026000,95.000000,50,24.000000,6.000000,502,12.000000,3.000000,0.000400,0.000400,-1.0,-1.0,1.000000,100,-1.0,1,1,1,0,0,0,0,0,0,0,0.000000,0,0,false,false,false,false,0,false,1.000000,5.000000,10.000000,0,0
2,0.000000,0.000000,0.000000,-0.000400,1,1,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0,100.000000,0.000000,"variate, depending on radius 10 of IFN","variate, depending on radius 10 of IFN",0.026000,2,0.000000,-1.000000,-1.0,100.000000,0,50,1,5,1,1.000000,0.026000,95.000000,50,24.000000,6.000000,502,12.000000,3.000000,0.000400,0.000400,-1.0,-1.0,1.000000,100,-1.0,1,1,1,0,0,0,0,0,0,0,0.000000,0,0,false,false,false,false,0,false,1.000000,5.000000,10.000000,0,0
3,0.000000,0.000000,0.000000,-0.000400,1,1,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0,100.000000,0.000000,"variate, depending on radius 10 of IFN","variate, depending on radius 10 of IFN",0.026000,2,0.000000,-1.000000,-1.0,100.000000,0,50,1,5,1,1.000000,0.026000,95.000000,50,24.000000,6.000000,502,12.000000,3.000000,0.000400,0.000400,-1.0,-1.0,1.000000,100,-1.0,1,1,1,0,0,0,0,0,0,0,0.000000,0,0,false,false,false,false,0,false,1.000000,5.000000,10.000000,0,0
4,0.000000,0.000000,0.000000,-0.000400,1,1,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0,100.000000,0.000000,"variate, depending on radius 10 of IFN","variate, depending on radius 10 of IFN",0.026000,2,0.000000,-1.000000,-1.0,100.000000,0,50,1,5,1,1.000000,0.026000,95.000000,50,24.000000,6.000000,502,12.000000,3.000000,0.000400,0.000400,-1.0,-1.0,1.000000,100,-1.0,1,1,1,0,0,0,0,0,0,0,0.000000,0,0,false,false,false,false,0,false,1.000000,5.000000,10.000000,0,0
5,0.000000,0.000000,0.000000,-0.000400,1,1,0.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0,100.000000,0.000000,"variate, depending on radius 10 of IFN","variate, depending on radius 10 of IFN",0.026000,2,0.000000,-1.000000,-1.0,100.000000,0,50,1,5,1,1.000000,0.026000,95.000000,50,24.000000,6.000000,502,12.000000,3.000000,0.000400,0.000400,-1.0,-1.0,1.000000,100,-1.0,1,1,1,0,0,0,0,0,0,0,0.000000,0,0,false,false,false,false,0,false,1.000000,5.000000,10.000000,0,0
6,0.000000,0.000000,0.000000,-0.000400,1,1,0.000000,99.960000,0.040000,0.040000,0.000000,0.000000,0,99.960000,0.000000,"variate, depending on radius 10 of IFN","variate, depending on radius 10 of IFN",0.026000,2,0.000000,-1.000000,-1.0,99.960000,0,50,1,5,1,1.000000,0.026000,95.000000,50,24.000000,6.000000,502,12.000000,3.000000,0.000400,0.000400,-1.0,-1.0,1.000000,100,-1.0,1,1,1,0,1,0,0,0,0,0,0.000000,0,0,false,false,false,false,0,false,1.000000,5.000000,10.000000,0,0
7,0.000000,0.000000,0.000000,-0.000400,1,1,0.000000,99.960000,0.040000,0.040000,0.000000,0.000000,0,99.960000,0.000000,"variate, depending on radius 10 of IFN","variate, depending on radius 10 of IFN",0.026000,2,0.000000,-1.000000,-1.0,99.960000,0,50,1,5,1,1.000000,0.026000,95.000000,50,24.000000,6.000000,502,12.000000,3.000000,0.000400,0.000400,-1.0,-1.0,1.000000,100,-1.0,1,1,1,0,1,0,0,0,0,0,0.000000,0,0,false,false,false,false,0,false,1.000000,5.000000,10.000000,0,0
8,0.000000,0.000000,0.000000,-0.000400,1,1,0.000000,99.960000,0.040000,0.040000,0.000000,0.000000,0,99.960000,0.000000,"variate, depending on radius 10 of IFN","variate, depending on radius 10 of IFN",0.026000,2,0.000000,-1.000000,-1.0,99.960000,0,50,1,5,1,1.000000,0.026000,95.000000,50,24.000000,6.000000,502,12.000000,3.000000,0.000400,0.000400,-1.0,-1.0,1.000000,100,-1.0,1,1,1,0,1,0,0,0,0,0,0.000000,0,0,false,false,false,false,0,false,1.000000,5.000000,10.000000,0,0
9,0.000000,0.000000,0.000000,-0.000400,1,1,0.000000,99.960000,0.040000,0.040000,0.000000,0.000000,0,99.960000,0.000000,"variate, depending on radius 10 of IFN","variate, depending on radius 10 of IFN",0.026000,2,0.000000,-1.000000,-1.0,99.960000,0,50,1,5,1,1.000000,0.026000,95.000000,50,24.000000,6.000000,502,12.000000,3.000000,0.000400,0.000400,-1.0,-1.0,1.000000,100,-1.0,1,1,1,0,1,0,0,0,0,0,0.000000,0,0,false,false,false,false,0,false,1.000000,5.000000,10.000000,0,0
